genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Kcnma1	0.67	TTR or breakage	16	[]
Tmem260	0.28	termination	3	[]
Adamdec1	0.68	TTR or breakage	1	[]
Nek10	0.62	TTR or breakage	5	[]
Fbxo16	0.19	TTR or breakage	2	[]
Msra	0.31	TTR or breakage	8	[]
Epsti1	0.55	other	2	[('TTR or breakage', 1)]
Psme2	0.13	TTR or breakage	1	[]
Pcca	0.25	TTR or breakage	8	[]
Ccdc66	0.19	TTR or breakage	2	[]
Ift88	0.16	TTR or breakage	3	[]
Rnf212b	0.18	other	1	[('TTR or breakage', 1)]
Lmo7	0.32	TTR or breakage	5	[]
Cacna2d3	0.78	TTR or breakage	12	[('other', 3), ('CTR', 2)]
Desi1	0.11	other	2	[]
Ep300	0.11	other	3	[]
Eef1d	0.12	IZ	2	[]
Ubr5	0.18	TTR or breakage	3	[]
Trio	0.37	TTR or breakage	5	[('termination', 1), ('IZ', 1)]
Vps13b	0.31	TTR or breakage	4	[('other', 4), ('termination', 3), ('IZ', 1)]
Ccdc152	0.79	other	2	[]
Pcbp2	0.1	CTR	1	[('TTR or breakage', 1)]
Atp6v1c1	0.21	TTR or breakage	1	[]
Atad2	0.15	IZ	2	[]
Smgc	0.72	IZ	2	[('other', 1)]
Adamts20	0.32	TTR or breakage	5	[]
Arfgap3	0.12	CTR	3	[]
Commd5	0.12	other	2	[]
Nipbl	0.18	TTR or breakage	4	[]
Nckap1l	0.19	TTR or breakage	1	[]
Ptk2	0.15	other	5	[]
Mei1	0.12	other	2	[]
Cdh6	0.42	TTR or breakage	4	[]
Lifr	0.29	other	1	[('IZ', 1), ('TTR or breakage', 1)]
Grik1	0.71	TTR or breakage	9	[]
4933404G15Rik	0.25	TTR or breakage	1	[]
Synj1	0.24	TTR or breakage	3	[]
Gm10823	0.91	CTR	3	[]
Ltn1	0.21	TTR or breakage	1	[('IZ', 1)]
Pigx	0.12	CTR	1	[]
Lca5l	0.2	TTR or breakage	1	[]
Tmem45a2	0.38	TTR or breakage	2	[]
Gspt1	0.13	IZ	2	[]
Tomm70a	0.29	TTR or breakage	2	[]
Parp14	0.14	IZ	2	[]
Ttc3	0.16	IZ	2	[('TTR or breakage', 1)]
Kcnj15	0.57	termination	1	[('TTR or breakage', 1)]
Tmem186	0.16	TTR or breakage	1	[]
