genes	s50	calc_most_common_label	most_common_label_count	other_labels&counts
Erbin	0.24	IZ	2	[('TTR or breakage', 1)]
Vps41	0.57	other	3	[('TTR or breakage', 1)]
Gm5464	0.26	CTR	1	[]
Camk2g	0.18	CTR	2	[]
Pibf1	0.55	TTR or breakage	4	[('IZ', 1)]
Slc15a1	0.22	IZ	2	[]
Vwa8	0.29	TTR or breakage	7	[('other', 2)]
Ppp3cb	0.19	other	2	[]
Cog3	0.2	TTR or breakage	2	[]
Txndc16	0.46	TTR or breakage	3	[]
Kcnma1	0.38	TTR or breakage	11	[('termination', 3), ('IZ', 2)]
Tmem260	0.21	CTR	3	[]
Adamdec1	0.58	termination	1	[]
Nek10	0.75	TTR or breakage	5	[]
Fbxo16	0.16	IZ	2	[]
Msra	0.26	other	8	[]
Epsti1	0.4	TTR or breakage	3	[]
Psme2	0.19	IZ	1	[]
Pcca	0.25	TTR or breakage	8	[]
Ccdc66	0.38	TTR or breakage	2	[]
Ift88	0.21	other	3	[]
Rnf212b	0.18	other	1	[('TTR or breakage', 1)]
Lmo7	0.57	TTR or breakage	5	[]
Cacna2d3	0.38	TTR or breakage	9	[('IZ', 5), ('other', 3)]
Desi1	0.14	other	2	[]
Ep300	0.14	TTR or breakage	2	[('CTR', 1)]
Eef1d	0.17	other	2	[]
Ubr5	0.29	TTR or breakage	3	[]
Trio	0.27	other	6	[('IZ', 1)]
Vps13b	0.5	TTR or breakage	10	[('termination', 2)]
Ccdc152	0.75	IZ	1	[('other', 1)]
Pcbp2	0.13	other	2	[]
Atp6v1c1	0.3	TTR or breakage	1	[]
Atad2	0.19	TTR or breakage	2	[]
Smgc	0.47	TTR or breakage	2	[('other', 1)]
Adamts20	0.36	TTR or breakage	5	[]
Arfgap3	0.18	other	3	[]
Commd5	0.18	TTR or breakage	2	[]
Nipbl	0.3	IZ	2	[('other', 2)]
Nckap1l	0.19	TTR or breakage	1	[]
Ptk2	0.2	other	5	[]
Mei1	0.16	other	2	[]
Cdh6	0.37	TTR or breakage	4	[]
Lifr	0.39	IZ	3	[]
Grik1	0.7	TTR or breakage	8	[('other', 1)]
4933404G15Rik	0.34	TTR or breakage	1	[]
Synj1	0.23	CTR	2	[('other', 1)]
Gm10823	0.68	other	3	[]
Ltn1	0.47	TTR or breakage	1	[('IZ', 1)]
Pigx	0.21	other	1	[]
Lca5l	0.23	TTR or breakage	1	[]
Tmem45a2	0.56	TTR or breakage	2	[]
Gspt1	0.21	TTR or breakage	2	[]
Tomm70a	0.5	TTR or breakage	2	[]
Parp14	0.27	TTR or breakage	2	[]
Ttc3	0.17	IZ	3	[]
